,Location,Date,Debate,Source,Speaker,Speech,RE
903,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"I know Donald's very praiseworthy of Vladimir Putin, but Putin is playing a really...  [crosstalk]  ...tough, long game here.",Donald; Vladimir Putin; Putin
913,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,And that's why I was soÛÓI was so shocked when Donald publicly invited Putin to hack into Americans.,Donald; Putin
917,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,... have said that Donald is unfit to be the commander- in-chief.,Donald
919,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Mr. Trump, you have two minutes and the same question.",Mr. Trump
929,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"So when Secretary Clinton talks about this, I mean, I'll take the admirals and I'll take the generals any day over the political hacks that I see that have led our country so brilliantly over the last 10 years with their knowledge.",Secretary Clinton
933,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"As far as the cyber, I agree to parts of what Secretary Clinton said.",Secretary Clinton
942,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"We learned that Bernie Sanders was taken advantage of by your people, by Debbie Wasserman Schultz.",Bernie Sanders
944,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,But Bernie Sanders was taken advantage of.,Bernie Sanders
946,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Now, whether that was Russia, whether that was China, whether it was another country, we don't know, because the truth is, under President Obama we've lost control of things that we used to have control over.",President Obama
947,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"We came in with the Internet, we came up with the Internet, and I think Secretary Clinton and myself would agree very much, when you look at what ISIS is doing with the Internet, they're beating us at our own game.",Secretary Clinton
959,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"We have so many things that we have to do better, Lester, and certainly cyber is one of them.",Lester
960,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,Secretary Clinton?,Secretary Clinton
976,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Tell us specifically how you would prevent homegrown attacks by American citizens, Mr. Trump?",Mr. Trump
978,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,Secretary Clinton is talking about taking out ISIS.,Secretary Clinton
980,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"Well, President Obama and Secretary Clinton created a vacuum the way they got out of Iraq, because they got outÛÓwhat, they shouldn't have been in, but once they got in, the way they got out was a disaster.",President Obama; Secretary Clinton
989,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,Secretary Clinton?,Secretary Clinton
991,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,Donald supported the invasion of Iraq.,Donald
997,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"But the larger pointÛÓand he says this constantlyÛÓis George W. Bush made the agreement about when American troops would leave Iraq, not Barack Obama.",George W. Bush; Barack Obama
999,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"But let's talk about the question you asked, Lester.",Lester
1013,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"Donald has consistently insulted Muslims abroad, Muslims at home, when we need to be cooperating with Muslim nations and with the American Muslim community.",Donald
1016,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"They need to have close working cooperation with law enforcement in these communities, not be alienated and pushed away as some of Donald's rhetoric, unfortunately, has led to.",Donald
1017,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,Mr. Trump...,Mr. Trump
1046,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"I think we have to get NATO to go into the Middle East with us, in addition to surrounding nations, and we have to knock the hell out of ISIS, and we have to do it fast, when ISIS formed in this vacuum created by Barack Obama and Secretary Clinton.",Barack Obama; Secretary Clinton
1096,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"And one of your compatriots said, you know, whether it was before or right after, Trump was definitelyÛÓbecause if you read this article, there's no doubt.",Trump
1106,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,Why is your judgmentÛÓwhy is your judgment any different than Mrs. Clinton's judgment?,Mrs. Clinton
1114,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,Secretary Clinton?,Secretary Clinton
1116,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,TRUMP,"The AFL-CIO the other day, behind the blue screen, I don't know who you were talking to, Secretary Clinton, but you were totally out of control.",Secretary Clinton
1118,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,Secretary Clinton?,Secretary Clinton
1119,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"Whew, OK. [laughter]  Let's talk about two important issues that were briefly mentioned by Donald, first, NATO.",Donald
1131,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"And my successor, John Kerry, and President Obama got a deal that put a lid on Iran's nuclear program without firing a single shot.",John Kerry; President Obama
1135,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,"The other day, I saw Donald saying that there were some Iranian sailors on a ship in the waters off of Iran, and they were taunting American sailors who were on a nearby ship.",Donald
1142,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,CLINTON,... of what we heard Donald say has been about nuclear weapons.,Donald
1180,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"On nuclear weapons, President Obama reportedly considered changing the nation's longstanding policy on first use.",President Obama
1182,"Hofstra University in Hempstead, New York",9/26/16,1,http://www.presidency.ucsb.edu/ws/?pid=118971,HOLT,"Mr. Trump, you have two minutes on that.",Mr. Trump
