,Location,Date,Debate,Source,Speaker,Speech
32,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,CLINTON,And I look forward to having that opportunity.
33,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,CLINTON,I would hope that the Senate would do its job and confirm the nominee that President Obama has sent to them.
34,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,CLINTON,That's the way the Constitution fundamentally should operate.
35,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,CLINTON,"The president nominates, and then the Senate advises and consents, or not, but they go forward with the process."
36,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,"Secretary Clinton, thank you."
37,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,"Mr. Trump, same question."
38,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,Where do you want to see the court take the country?
39,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,And how do you believe the Constitution should be interpreted?
40,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,"Well, first of all, it's great to be with you, and thank you, everybody."
41,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,The Supreme Court: It's what it's all about.
42,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,"Our country is so, so—it's just so imperative that we have the right justices."
43,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,"Something happened recently where Justice Ginsburg made some very, very inappropriate statements toward me and toward a tremendous number of people, many, many millions of people that I represent."
44,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,And she was forced to apologize.
45,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,And apologize she did.
46,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,"But these were statements that should never, ever have been made."
47,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,"We need a Supreme Court that in my opinion is going to uphold the Second Amendment, and all amendments, but the Second Amendment, which is under absolute siege."
48,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,"I believe if my opponent should win this race, which I truly don't think will happen, we will have a Second Amendment which will be a very, very small replica of what it is right now."
49,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,"But I feel that it's absolutely important that we uphold, because of the fact that it is under such trauma."
50,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,I feel that the justices that I am going to appoint—and I've named 20 of them—the justices that I'm going to appoint will be pro-life.
51,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,They will have a conservative bent.
52,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,They will be protecting the Second Amendment.
53,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,"They are great scholars in all cases, and they're people of tremendous respect."
54,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,They will interpret the Constitution the way the founders wanted it interpreted.
55,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,"And I believe that's very, very important."
56,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,I don't think we should have justices appointed that decide what they want to hear.
57,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,"It's all about the Constitution of—of—and so important, the Constitution the way it was meant to be."
58,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,TRUMP,And those are the people that I will appoint.
59,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,"Mr. Trump, thank you."
60,University of Nevada in Las Vegas,10/19/16,3,http://www.presidency.ucsb.edu/ws/?pid=119039,WALLACE,We now have about 10 minutes for an open discussion.
